"data_Persona","data_productividad_per","data_Tcamp","data_sumCOD","data_sumHRSLB","data_GRADO2","data_sum_variedad_total_AL","data_sum_variedad_total_CC","data_sum_variedad_total_CP","data_sum_variedad_total_JS","data_sum_variedad_total_MG","data_sum_variedad_total_RG","data_sum_variedad_total_SG","data_sum_variedad_total_TC","data_sum_variedad_total_TM","data_sum_variedad_total_VN","data_sum_aux_bono_total","data_sum_hora_extra","data_n_lote","data_n_fundo","data_T_RangoEdad","data_Testado_civil","data_Tsexo","data_T_numero_hijos","data_dias_empresa","data_Tedad","data_numero_hijos","data_pobreza","data_n_variedad","data_veces","data_DEUDA_PROM_U6M","data_PEOR_CALIF_U6M","data_MODA_CALIF_U6M","data_NRO_ENT_PROM_U6M","data_TIPCRE_UM","data_DIAS_ATRASO_PROM_U6M","data_BANCARIZADO","data_distancia","data_import_unico","data_total","data_bono_produc","data_otros_bono","dummies_Tsexo_Mujer","sede_cod","data_numero_asistentes","data_asistente_mediana_Tedad","data_asistente_mediana_numero_hijos","data_asistente_dias_empresa","cluster"
4041,72.9130413832199,19,1020.78257936508,14,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,138.4,0,0,0,0,3.18,28.8,2,1,"MENOR A 30","Soltero(a)","Hombre","sin hijos",92,24,0,41.25,1,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,49.0671069128811,106.42,138.4,3.18,0,0,"Ica",1,45,2,2922,4
4041,78.3038674033149,20,14173,181,"SECUNDARIA IMCOMPLETA",668.85,368.73,0,0,0,520.34,0,0,507.65,0,1246.97,0,9,4,"MENOR A 30","Soltero(a)","Hombre","sin hijos",297,25,0,41.25,4,2,260,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,49.0671069128811,818.6,2065.57,1246.97,0,0,"Ica",6,31.5,0,2113,2
4062,110.908730762282,19,29557.1767481481,266.5,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,148.23,0,2062.66,0,555.09,57.6,7,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",199,48,2,41.25,2,4,2743.65,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,2.69268693119756,1598.2,2210.89,555.09,0,1,"Ica",7,37,0,1843,3
4064,62.180303030303,19,6155.85,99,"SECUNDARIA COMPLETA",441.31,0,0,0,42.99,0,0,182.16,0,0,207.24,46.91,5,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1490,38,0,13.9,3,4,3856.06,"0.NORMAL","0.NORMAL",1.67,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,460.45,714.6,159.1,48.14,1,"Ica",5,41,0,NA,4
4064,27.3888888888889,20,493,18,"SECUNDARIA COMPLETA",98.5,0,0,0,0,0,0,0,0,0,0,98.5,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1490,39,0,13.9,1,4,3608.26,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,0,98.5,0,0,1,"Ica",4,NA,NA,NA,4
4065,84.8389436920222,19,26130.3946571428,308,"SECUNDARIA COMPLETA",0,138.31,0,0,0,0,366.95,0,1695.1,0,446.64,14.4,10,4,"MAS DE 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",219,60,1,45.9,3,4,13524.13,"0.NORMAL","0.NORMAL",4.83,"MICROEMPRESAS",0.67,1,6.05239151999867,1739.32,2200.36,446.64,0,1,"Ica",10,38,1,NA,3
4074,45.5308641975309,20,7376,162,"PRIMARIA COMPLETA",0,554.72,0,0,0,0,0,0,837.07,0,636.79,0,5,3,"DE 31 A 50","Soltero(a)","Mujer","con hijos",80,43,2,13.9,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,98.9000234133798,760.65,1397.44,631.14,5.65,1,"Ica",2,37.5,1,1683,2
4074,91.5777893878627,19,25733.3588179894,281,"PRIMARIA COMPLETA",0,293.96,0,0,244.84,0,230.72,0,1489.28,0,633.78,31.26,11,4,"DE 31 A 50","Soltero(a)","Mujer","con hijos",240,42,2,13.9,4,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,98.9000234133798,1593.76,2258.8,633.78,0,1,"Ica",8,34,0,1665,3
4075,50.9640287769784,20,7084,139,"SECUNDARIA COMPLETA",0,0,0,0,0,1090.66,0,0,0,0,490.8,0,5,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",66,33,2,45.9,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,75.4733395288001,628.62,1119.42,462.04,28.76,1,"Ica",5,37,0,NA,2
4075,55.1847933333333,19,4414.78346666666,80,"SECUNDARIA COMPLETA",0,0,0,0,0,0,452.85,0,0,0,32.86,0,2,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",178,32,2,45.9,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,75.4733395288001,419.99,452.85,32.86,0,1,"Ica",1,43,0,2222,4
4076,74.0526315789474,20,5628,76,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,715.39,0,339.25,114.92,2,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",1093,42,2,45.9,1,4,221.02,"4.EN PERDIDA","0.NORMAL",1.33,"CONSUMO REVOLVENTE",11.5,1,4.79582369048168,171.32,744.74,429.15,29.35,1,"Ica",5,40,1,NA,4
4078,53.3363636363636,19,293.35,5.5,"PRIMARIA COMPLETA",0,0,0,34.63,0,0,0,0,0,0,9.06,0,1,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",62,41,2,41.25,1,2,NA,"0.NORMAL",NA,NA,NA,NA,1,6.05239151999867,25.57,34.63,9.06,0,1,"Ica",1,39,2,2499,4
4081,165.245542626816,19,40237.2896296296,243.5,"SECUNDARIA COMPLETA",843.55,0,0,0,160.82,730.09,0,0,0,0,509.73,15.63,7,3,"DE 31 A 50","Soltero(a)","Mujer","con hijos",172,34,1,45.9,3,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,1209.1,1734.46,509.73,0,1,"Ica",5,33,0,NA,2
4081,59.6835443037975,20,14145,237,"SECUNDARIA COMPLETA",0,1118.65,0,1385.03,0,0,0,0,494.93,0,1942.42,0,8,4,"DE 31 A 50","Soltero(a)","Mujer","con hijos",80,35,1,45.9,3,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,1056.19,2998.61,1942.42,0,1,"Ica",5,34,2,NA,2
4083,104.655616746262,19,30088.4898145503,287.5,"SECUNDARIA IMCOMPLETA",0,155.77,0,0,0,0,448.3,0,1869.55,0,916.45,62.52,11,3,"MENOR A 30","Soltero(a)","Mujer","con hijos",175,24,1,41.25,3,3,2399.85,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,1501.36,2480.33,909.74,6.71,1,"Ica",15,34,0,NA,3
4084,56.4148148148148,20,15232,270,"SECUNDARIA IMCOMPLETA",0,804.52,0,1319.32,0,361.36,0,0,341.59,0,1621.2,0,11,5,"MENOR A 30","Soltero(a)","Mujer","con hijos",73,30,1,13.9,4,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,5.92314046776367,1205.59,2826.79,1621.2,0,1,"Ica",4,29.5,0.5,1182.5,2
4086,64.4675324675325,20,9928,154,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,1009.88,0,0,147.54,0,443.96,98.51,7,2,"MENOR A 30","Soltero(a)","Mujer","con hijos",128,28,1,13.9,2,3,2233.61,"3.DUDOSO","0.NORMAL",1.67,"CONSUMO NO REVOLVENTE",6.5,1,5.92314046776367,581.53,1157.42,477.38,0,1,"Ica",10,30.5,0,1301.5,2
4086,134.946676470588,19,11470.4675,85,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,569.25,0,0,0,0,77.71,0,2,1,"MENOR A 30","Soltero(a)","Mujer","con hijos",75,27,1,13.9,1,3,2292.81,"3.DUDOSO","0.NORMAL",1,"CONSUMO NO REVOLVENTE",1.67,1,5.92314046776367,491.54,569.25,77.71,0,1,"Ica",2,38,0,NA,4
4087,36.2777777777778,20,5877,162,"SECUNDARIA COMPLETA",0,375.27,0,0,0,0,0,0,748.03,0,373.79,0,4,2,"MAS DE 50","Soltero(a)","Mujer","con hijos",383,57,1,45.9,2,5,1530.09,"1.CPP","0.NORMAL",1.33,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,755.25,1129.04,368.05,5.74,1,"Ica",4,34.5,0,NA,2
4087,106.777439595634,19,33154.3949944444,310.5,"SECUNDARIA COMPLETA",0,182.94,0,0,0,0,368.28,0,1716.67,0,631.43,14.4,10,3,"MAS DE 50","Soltero(a)","Mujer","con hijos",276,56,1,45.9,3,5,3185.17,"1.CPP","0.NORMAL",3,"CONSUMO NO REVOLVENTE",0.22,1,4.79582369048168,1622.06,2267.89,631.43,0,1,"Ica",14,36,0,NA,3
4088,46,20,4922,107,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,706.12,0,223.96,16.42,3,1,"MAS DE 50","Soltero(a)","Mujer","con hijos",310,56,1,41.25,1,4,NA,"0.NORMAL",NA,NA,NA,NA,1,6.05239151999867,445.73,710.71,243.97,4.59,1,"Ica",5,38,0,1046,4
4091,41.9285714285714,20,3522,84,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,518.17,0,144.01,0,3,1,"MAS DE 50","Casado(a)/conviviente/unionlibre","Mujer","sin hijos",269,55,0,41.25,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,6.05239151999867,379.9,523.91,138.27,5.74,1,"Ica",3,37,0,1843,4
4091,78.128675595238,19,4375.20583333333,56,"SECUNDARIA COMPLETA",0,234.79,0,0,0,89.84,0,0,0,0,58.22,0,3,2,"MAS DE 50","Casado(a)/conviviente/unionlibre","Mujer","sin hijos",217,54,0,41.25,2,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,6.05239151999867,266.41,324.63,58.22,0,1,"Ica",2,42.5,0.5,NA,4
4092,43.1428571428571,20,3624,84,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,532.47,0,158.32,0,3,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",269,50,1,41.25,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,379.89,538.21,152.58,5.74,1,"Ica",3,37,0,1843,4
4092,90.7842115478053,19,32228.3950994709,355,"SECUNDARIA COMPLETA",0,170.85,0,0,0,0,376.75,0,1883.58,0,499.39,0,9,3,"DE 31 A 50","Soltero(a)","Mujer","con hijos",196,49,1,41.25,3,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,1931.79,2431.18,499.39,0,1,"Ica",6,38,0.5,1444.5,3
4094,122.730974233083,19,34916.9621693122,284.5,"ILETRADO",0,221.72,0,0,332.68,0,0,0,1683.54,0,590.59,0,10,4,"MAS DE 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",258,56,2,41.25,4,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,1647.35,2237.94,590.59,0,1,"Ica",7,33,1,1046,3
4094,35.4583333333333,20,5106,144,"ILETRADO",687.31,0,0,0,0,0,0,0,0,0,36.03,0,2,1,"MAS DE 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",324,57,2,41.25,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,651.28,687.31,36.03,0,1,"Ica",1,35,0,2026,2
4096,125.393664976764,19,16489.2669444444,131.5,"PRIMARIA INCOMPLETA",0,0,0,0,0,761.22,0,0,0,0,96.41,0,3,1,"MAS DE 50","Soltero(a)","Mujer","con hijos",196,52,2,45.9,1,4,13568.99,"0.NORMAL","0.NORMAL",2.17,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,664.81,761.22,96.41,0,1,"Ica",3,38,0,NA,2
4103,63.4026845637584,20,9447,149,"SECUNDARIA IMCOMPLETA",0,674.37,0,0,0,0,0,0,1175.87,0,1178.72,0,4,2,"MENOR A 30","Soltero(a)","Mujer","con hijos",281,28,1,45.9,2,5,1643.57,"0.NORMAL","0.NORMAL",1.83,"CONSUMO REVOLVENTE",0,1,4.79582369048168,673.89,1852.61,1176.35,2.37,1,"Ica",3,40,0,2098,2
4103,112.679979477489,19,30761.6343973545,273,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,393.21,0,2462.25,0,1525.3,0,8,2,"MENOR A 30","Soltero(a)","Mujer","con hijos",245,27,1,45.9,2,5,1209.7,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,1330.16,2855.46,1525.3,0,1,"Ica",7,36,0,1495,3
4106,24.3333333333333,20,219,9,"SECUNDARIA COMPLETA",0,75.28,0,0,0,0,0,0,16.42,0,11.3,16.42,2,2,"DE 31 A 50","Soltero(a)","Hombre","con hijos",415,35,1,45.9,2,4,8841.61,"2.DEFICIENTE","0.NORMAL",3,"CONSUMO NO REVOLVENTE",13.48,1,6.05239151999867,75.28,103,0,11.3,0,"Ica",2,34,2,NA,4
4106,122.764306362111,19,7550.00484126983,61.5,"SECUNDARIA COMPLETA",0,99.34,0,0,0,0,0,0,288.05,0,74.43,31.27,6,2,"DE 31 A 50","Soltero(a)","Hombre","con hijos",679,34,1,45.9,2,4,3337.62,"2.DEFICIENTE","0.NORMAL",1.67,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,345.07,450.77,11.05,63.38,0,"Ica",6,35,0.5,2773.5,4
4109,42.6382978723404,20,2004,47,"SECUNDARIA COMPLETA",0,0,0,79.07,0,0,0,0,265.22,0,141.99,0,3,2,"MENOR A 30","Soltero(a)","Mujer","sin hijos",1499,26,0,45.9,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,5.92314046776367,257.93,399.92,86.36,55.63,1,"Ica",6,30,0.5,976.5,4
4109,58.3268149440138,19,7524.15912777778,129,"SECUNDARIA COMPLETA",0,348.27,0,0,0,0,442.16,0,15.63,0,278.33,15.63,4,3,"MENOR A 30","Soltero(a)","Mujer","sin hijos",1499,25,0,45.9,3,5,1408.12,"1.CPP","1.CPP",1.83,"CONSUMO NO REVOLVENTE",9.36,1,5.92314046776367,576.06,870.02,214.37,63.96,1,"Ica",6,38.5,1,NA,2
4113,73.7541267529234,19,13165.1116253968,178.5,"SECUNDARIA COMPLETA",0,227.17,0,0,578.04,141.9,378.97,0,169.44,0,499.98,0,7,5,"DE 31 A 50","Soltero(a)","Mujer","con hijos",245,40,1,41.25,5,5,3172.16,"0.NORMAL","0.NORMAL",1.5,"CONSUMO NO REVOLVENTE",0,1,2.69268693119756,995.54,1495.52,499.98,0,1,"Ica",9,38,1,NA,2
4113,53.9342105263158,20,8198,152,"SECUNDARIA COMPLETA",0,526.25,0,0,0,0,0,0,1008.84,0,847.7,0,5,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",318,41,1,41.25,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,2.69268693119756,687.39,1535.09,847.7,0,1,"Ica",1,34,1,885,2
4115,172.017272245129,19,50659.0866761905,294.5,"SECUNDARIA IMCOMPLETA",527.8,244.88,0,0,2353.73,230.64,0,0,639.77,0,2348.35,125.06,17,7,"MENOR A 30","Soltero(a)","Mujer","con hijos",243,23,1,45.9,6,5,2496.12,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,1558.42,4031.83,2313.34,35.01,1,"Ica",13,NA,NA,NA,3
4115,130.837022132797,20,32513,248.5,"SECUNDARIA IMCOMPLETA",140.26,743.52,0,225.35,107,586.01,0,0,3572.41,0,4167.52,32.84,14,7,"MENOR A 30","Soltero(a)","Mujer","con hijos",56,24,1,45.9,6,5,2401.34,"0.NORMAL","0.NORMAL",2,"MICROEMPRESAS",0,1,4.79582369048168,1174.19,5374.55,4167.52,0,1,"Ica",10,36,0,1313,2
4124,56.8523333333333,19,852.785,15,"SECUNDARIA COMPLETA",0,0,0,0,0,102.55,0,0,61.66,0,24.68,0,2,2,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",1840,43,2,41.25,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,2.69268693119756,139.53,164.21,24.68,0,1,"Ica",2,44,0,2024.5,1
4124,48.6744186046512,20,2093,43,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,326.08,0,64.55,65.67,2,2,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",1840,44,2,41.25,1,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,2.69268693119756,170.19,326.08,90.22,0,1,"Ica",2,39,0,NA,1
4125,35.0833333333333,20,421,12,"SUPERIOR - TECNICO",0,75.28,0,0,0,32.84,0,0,0,0,14.56,32.84,2,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",2516,34,1,41.25,2,4,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,2.69268693119756,75.28,122.68,0,14.56,1,"Ica",3,32,0,1499,1
4126,146.973664500271,19,27998.4830873016,190.5,"SECUNDARIA IMCOMPLETA",494.52,0,0,0,525.61,294.16,0,127.95,155.83,0,570.06,31.26,12,5,"MENOR A 30","Soltero(a)","Mujer","con hijos",122,24,1,13.9,5,2,736.87,"4.EN PERDIDA","4.EN PERDIDA",1,"CONSUMO NO REVOLVENTE",1128.5,1,5.92314046776367,996.75,1598.07,570.06,0,1,"Ica",9,37,0,NA,2
4126,85.9465081723626,20,28921,336.5,"SECUNDARIA IMCOMPLETA",19.28,348.77,0,114.31,0,0,0,0,3886.11,0,2849.56,109.17,12,6,"MENOR A 30","Soltero(a)","Mujer","con hijos",313,25,1,13.9,4,2,736.87,"4.EN PERDIDA","4.EN PERDIDA",1,"CONSUMO NO REVOLVENTE",1295.33,1,5.92314046776367,1371.78,4368.47,2887.52,0,1,"Ica",6,39.5,0,NA,3
4128,137.557095962011,19,16438.0729674603,119.5,"SECUNDARIA IMCOMPLETA",0,191.94,0,0,0,0,9.31,0,487.97,0,192.57,0,6,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1040,42,0,13.9,3,4,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,5.92314046776367,636.94,829.51,52.28,140.29,1,"Ica",5,41,0,3256,2
4130,54.3620689655172,20,3153,58,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,462,0,194.01,32.83,2,1,"MENOR A 30","Soltero(a)","Hombre","con hijos",266,30,2,41.25,1,2,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,2.69268693119756,202.84,462,226.33,0,0,"Ica",2,33.5,1.5,1224.5,4
4131,54.6451612903226,20,1694,31,"SUPERIOR - TECNICO",0,0,0,0,0,92.07,0,0,177.85,0,8.81,98.51,4,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1053,39,0,41.25,2,1,3403.66,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,154.17,269.92,17.24,0,1,"Ica",8,35.5,0,NA,4
4132,42.5640270639354,19,3809.48042222222,89.5,"SECUNDARIA IMCOMPLETA",0,93.41,0,0,0,0,0,0,346.05,0,74.9,46.9,6,3,"DE 31 A 50","Soltero(a)","Mujer","con hijos",128,41,1,41.25,3,3,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,2.69268693119756,317.66,439.46,74.9,0,1,"Ica",7,37,1,2085,4
4138,44.190251572327,19,2342.08333333333,53,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,384.62,0,139.14,0,1,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",164,33,2,45.9,1,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,245.48,384.62,139.14,0,1,"Ica",2,32,1,934,4
4138,60.5164835164835,20,5507,91,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,722.45,0,308.07,16.42,2,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",330,34,2,45.9,1,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,397.96,722.45,308.07,0,1,"Ica",5,33,0,1116,4
4145,32.1739130434783,20,740,23,"SECUNDARIA IMCOMPLETA",0,54.02,0,0,0,0,0,0,114.06,0,20.44,16.42,3,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1108,40,0,41.25,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,53.1848218877654,146.11,182.97,5.55,14.89,1,"Ica",4,34.5,1,821,4
4145,76.375487804878,19,1565.6975,20.5,"SECUNDARIA IMCOMPLETA",0,61.5,0,47.38,0,0,0,0,0,0,46.1,0,2,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",1108,39,0,41.25,2,5,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,53.1848218877654,98.19,144.29,10.69,35.41,1,"Ica",2,35,2.5,719,4
4146,99.328,19,248.32,2.5,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,14.4,0,0,14.4,1,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",2145,34,0,13.1,1,4,5120.55,"0.NORMAL","0.NORMAL",2.83,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,0,14.4,0,0,1,"Ica",1,31,1,101,1
4147,52.9044642857143,19,6665.9625,126,"SECUNDARIA COMPLETA",578.67,0,0,0,48.11,0,0,145,0,0,139.83,46.91,5,3,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",602,49,2,45.9,3,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,613.44,800.18,111.43,28.4,1,"Ica",5,40,0,NA,2
4150,52.281045751634,20,7999,153,"SECUNDARIA IMCOMPLETA",0,99.7,0,0,0,0,0,0,1155.08,0,463.89,149.23,3,3,"MENOR A 30","Soltero(a)","Mujer","sin hijos",391,26,0,45.9,2,5,2758.39,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,569.78,1254.78,535.77,0,1,"Ica",6,33,0,934,2
4150,59.3610041025641,19,3858.46526666666,65,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,476.81,0,155.4,54.54,4,4,"MENOR A 30","Soltero(a)","Mujer","sin hijos",672,25,0,45.9,2,5,5578,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,266.87,476.81,155.4,0,1,"Ica",5,32,0,NA,4
4151,35.1555555555556,20,3164,90,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,623.06,0,169.02,32.84,2,2,"DE 31 A 50","Soltero(a)","Hombre","con hijos",80,33,1,13.9,1,1,2090.01,"1.CPP","0.NORMAL",2.17,"MICROEMPRESAS",2.38,1,159.697027340941,415.74,628.17,174.48,5.11,0,"Ica",6,36.5,1,892,4
4153,86.1093445032334,19,8137.33305555555,94.5,"SECUNDARIA COMPLETA",0,57.29,0,0,0,598.29,0,0,0,0,199.84,0,4,2,"MENOR A 30","Soltero(a)","Mujer","con hijos",97,30,1,45.9,2,4,3390.49,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,134.636969379895,455.74,655.58,199.84,0,1,"Ica",3,36,0,NA,4
4159,270.031333333333,19,10801.2533333333,40,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,225.04,0,0,0,0,22.26,0,2,1,"MENOR A 30","Soltero(a)","Mujer","con hijos",172,26,1,13.1,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,75.4733395288001,202.78,225.04,22.26,0,1,"Ica",2,25.5,0,NA,4
4160,62.36,20,1559,25,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,193.11,0,15.91,98.5,1,1,"MENOR A 30","Soltero(a)","Mujer","con hijos",402,27,1,45.9,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,82.08,201.74,12.53,8.63,1,"Ica",3,NA,NA,NA,4
4160,55.9779666666667,19,1679.339,30,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,283.71,0,84.8,0,2,2,"MENOR A 30","Soltero(a)","Mujer","con hijos",248,26,1,45.9,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,198.91,283.71,84.8,0,1,"Ica",2,35.5,1,NA,4
4162,219.20662820701,19,12933.1910642136,59,"SECUNDARIA IMCOMPLETA",0,0,0,0,41.19,528.33,0,0,0,0,105.22,0,4,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",206,34,0,13.1,2,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,466.71,571.93,102.81,2.41,1,"Ica",3,35,0,NA,4
4162,44.125,20,2824,64,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,438.11,0,0,0,0,164.91,29.85,5,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",329,35,0,13.1,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,235.65,457.05,172.61,18.94,1,"Ica",2,36.5,0,2711.5,4
4171,39.9787234042553,20,1879,47,"SECUNDARIA COMPLETA",242.47,0,0,0,0,0,0,0,0,0,35.5,82.09,2,1,"DE 31 A 50","Soltero(a)","Mujer","con hijos",311,34,1,45.9,1,3,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,144.46,262.36,15.92,19.89,1,"Ica",3,39,0,2229,4
4173,104.158834075878,19,36663.909594709,352,"SECUNDARIA COMPLETA",0,142.24,0,0,0,0,408.63,0,2305.07,0,933.59,62.53,9,3,"DE 31 A 50","Soltero(a)","Mujer","con hijos",161,45,1,13.9,3,2,7476.76,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,1859.82,2855.94,933.59,0,1,"Ica",12,40,1,1849,3
4174,61.8852683615819,19,1825.61541666667,29.5,"SECUNDARIA COMPLETA",0,31.94,0,0,0,0,0,0,203.59,0,99.08,0,2,2,"MENOR A 30","Soltero(a)","Mujer","sin hijos",76,25,0,45.9,2,1,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,136.45,235.53,99.08,0,1,"Ica",2,25.5,0,NA,4
4175,40.2578616352201,20,6401,159,"SECUNDARIA COMPLETA",0,453.2,0,0,0,0,0,0,752.23,0,463.86,0,5,2,"DE 31 A 50","Soltero(a)","Mujer","con hijos",283,43,1,45.9,2,5,1960.29,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,747.09,1210.95,458.34,5.52,1,"Ica",2,31.5,0.5,1564,2
4175,79.7257898230088,19,18018.0285,226,"SECUNDARIA COMPLETA",124.55,0,0,0,124.64,0,0,0,1365.32,0,299.4,0,7,5,"DE 31 A 50","Soltero(a)","Mujer","con hijos",168,42,1,45.9,3,5,5272.69,"0.NORMAL","0.NORMAL",1.5,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,1315.11,1614.51,299.4,0,1,"Ica",3,41,0,1852,3
4178,52.5614337292904,19,12010.2876071429,228.5,"SECUNDARIA IMCOMPLETA",0,221.89,0,0,667.49,196.7,420.5,0,111.96,0,324.26,46.89,7,5,"DE 31 A 50","Soltero(a)","Mujer","con hijos",99,35,1,41.25,5,2,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,2.69268693119756,1247.39,1618.54,324.26,0,1,"Ica",8,40,1,NA,2
