"data_Persona","data_productividad_per","data_Tcamp","data_sumCOD","data_sumHRSLB","data_GRADO2","data_sum_variedad_total_AL","data_sum_variedad_total_CC","data_sum_variedad_total_CP","data_sum_variedad_total_JS","data_sum_variedad_total_MG","data_sum_variedad_total_RG","data_sum_variedad_total_SG","data_sum_variedad_total_TC","data_sum_variedad_total_TM","data_sum_variedad_total_VN","data_sum_aux_bono_total","data_sum_hora_extra","data_n_lote","data_n_fundo","data_T_RangoEdad","data_Testado_civil","data_Tsexo","data_T_numero_hijos","data_dias_empresa","data_Tedad","data_numero_hijos","data_pobreza","data_n_variedad","data_veces","data_DEUDA_PROM_U6M","data_PEOR_CALIF_U6M","data_MODA_CALIF_U6M","data_NRO_ENT_PROM_U6M","data_TIPCRE_UM","data_DIAS_ATRASO_PROM_U6M","data_BANCARIZADO","data_distancia","data_import_unico","data_total","data_bono_produc","data_otros_bono","dummies_Tsexo_Mujer","sede_cod","data_numero_asistentes","data_asistente_mediana_Tedad","data_asistente_mediana_numero_hijos","data_asistente_dias_empresa","cluster"
85,5.16666666666667,20,31,6,"SECUNDARIA COMPLETA",0,0,0,0,0,60.56,0,0,0,0,0,60.56,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",6545,40,0,43,1,3,11147.01,"0.NORMAL","0.NORMAL",2,"CONSUMO REVOLVENTE",0,1,6.20121397573128,0,60.56,0,0,0,"Ica",2,31.5,0,NA,1
89,62.0819672131148,20,3787,61,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,470.26,0,162.57,74.61,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",6422,55,0,41.25,1,4,3456.87,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,21.5942077912274,233.08,470.26,162.57,0,0,"Ica",4,33,0.5,934,1
89,56.1458333333333,19,1347.5,24,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,170.3,0,66.15,0,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",6422,54,0,41.25,1,4,4516.05,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,21.5942077912274,104.15,170.3,66.15,0,0,"Ica",1,32,0,1116,1
123,93.4445714285714,19,3270.56,35,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,240.33,0,121.95,34.22,3,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",5474,46,0,41.25,2,4,1008.24,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,84.16,240.33,121.95,0,0,"Ica",4,37,0,3344.5,1
123,68.7291666666667,20,3299,48,"SECUNDARIA COMPLETA",0,0,0,0,0,366.1,0,0,0,0,144.5,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",5474,47,0,41.25,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,221.6,366.1,144.5,0,0,"Ica",1,50,1,1130,1
166,66.6666666666667,20,200,3,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,33.86,0,0,33.86,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",5232,43,0,13.9,1,2,12477.89,"4.EN PERDIDA","4.EN PERDIDA",1,"CONSUMO NO REVOLVENTE",179.33,1,5.92314046776367,0,33.86,0,0,0,"Ica",1,35,0,NA,1
167,57,20,513,9,"SECUNDARIA COMPLETA",0,0,0,31.96,0,148.34,0,0,0,0,8.97,31.96,2,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",5232,39,0,45.9,2,3,5631.78,"0.NORMAL","0.NORMAL",2,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,148.34,189.27,0,8.97,0,"Ica",2,27.5,1,1753.5,1
197,25.8501388888889,19,180.950972222222,7,"SECUNDARIA COMPLETA",0,126.53,0,0,0,0,0,0,0,0,9.42,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",5148,42,1,41.25,1,1,1421.98,"0.NORMAL","0.NORMAL",1.75,NA,0,1,2.69268693119756,120.88,130.3,5.65,3.77,0,"Ica",1,29,0,624,1
262,67.59375,20,4326,64,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,500,0,0,0,0,130.59,0,2,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4952,38,0,41.25,1,4,13423.25,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,369.41,500,130.59,0,0,"Ica",3,34,1,1130,1
262,85.5642857142857,19,2994.75,35,"SECUNDARIA IMCOMPLETA",0,0,0,0,0,0,0,0,279.77,0,125.78,42.14,3,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4952,37,0,41.25,2,4,16046.3,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,5.92314046776367,111.85,279.77,125.78,0,0,"Ica",3,35,0,3594,1
283,61.6511627906977,20,2651,43,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,423.44,0,227.62,14.92,2,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",283,49,1,41.25,1,2,8253.13,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,2.69268693119756,163.38,423.44,245.14,0,0,"Ica",2,31.5,0,NA,4
283,82.4340885613504,19,10386.6951587302,126,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,2115.95,0,1124.84,72.01,6,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",196,48,1,41.25,1,2,5984.35,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,2.69268693119756,919.1,2115.95,1124.84,0,0,"Ica",5,39,0,3304,2
304,25.1615416666667,19,603.877,24,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,146.04,0,40.2,0,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",4777,54,0,45.9,1,3,6198.65,"0.NORMAL","0.NORMAL",1.83,"CONSUMO REVOLVENTE",0,1,4.79582369048168,119.36,159.56,26.68,13.52,0,"Ica",1,30,0,NA,1
332,54.5,20,545,10,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,148.23,0,6.58,22.85,2,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",4706,53,0,13.1,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,0,4.79582369048168,125.38,154.81,0,6.58,0,"Ica",2,NA,NA,NA,1
334,36.4666666666667,20,3282,90,"SECUNDARIA COMPLETA",463.47,0,0,0,0,0,0,0,0,0,53.97,0,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4699,42,0,41.25,1,2,27333.89,"0.NORMAL","0.NORMAL",2.17,"CONSUMO NO REVOLVENTE",0.67,1,2.69268693119756,409.5,463.47,53.97,0,1,"Ica",1,35,0,2026,1
342,53.0425531914894,20,2493,47,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,388.95,0,129.56,57.12,2,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4663,47,0,45.9,1,5,1600.67,"2.DEFICIENTE","0.NORMAL",2,"CONSUMO REVOLVENTE",0.5,1,4.79582369048168,248.49,446.37,83.34,57.42,1,"Ica",6,37,1,892,1
342,166.312166549797,19,20705.8647354497,124.5,"SECUNDARIA COMPLETA",0,136.29,0,0,108.02,0,0,0,713.23,0,202.37,19.85,9,3,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",4663,46,0,45.9,3,5,3175.03,"2.DEFICIENTE","1.CPP",3,"CONSUMO NO REVOLVENTE",9,1,4.79582369048168,870.12,1092.34,67.57,134.8,1,"Ica",5,33,1,2085,1
344,219.132348320038,19,21584.5363095238,98.5,"SUPERIOR - TECNICO",0,112.72,0,0,718.72,378.26,0,0,91.93,0,423.36,0,6,4,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",4663,42,2,41.25,4,4,8663.09,"0.NORMAL","0.NORMAL",1,"CONSUMO REVOLVENTE",0,1,2.69268693119756,878.27,1301.63,423.36,0,1,"Ica",6,38.5,1,NA,1
344,47.0546875,20,12046,256,"SUPERIOR - TECNICO",0,957.59,0,0,0,0,0,0,1268.39,0,1073.92,0,7,4,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Mujer","con hijos",4663,43,2,41.25,2,4,5406.95,"0.NORMAL","0.NORMAL",1,"CONSUMO REVOLVENTE",0,1,2.69268693119756,1157.8,2231.72,1068.18,5.74,1,"Ica",7,28,1,922,1
345,130.935266458378,19,28936.6938873016,221,"SECUNDARIA COMPLETA",0,77.23,0,0,0,0,75.66,0,1960.48,0,1108.2,0,10,3,"MAS DE 50","Soltero(a)","Mujer","sin hijos",4663,52,0,41.25,3,5,24132.07,"0.NORMAL","0.NORMAL",1.17,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,1196.12,2304.32,917.25,190.95,1,"Ica",7,36,0,1403,1
345,46.2424242424242,20,12208,264,"SECUNDARIA COMPLETA",0,440.61,0,0,0,667.02,0,0,676.84,0,775.5,0,9,3,"MAS DE 50","Soltero(a)","Mujer","sin hijos",4663,53,0,41.25,3,5,19547.33,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,6.05239151999867,1194.12,1969.62,590.35,185.15,1,"Ica",8,27,0.5,NA,1
347,59.4027777777778,20,8554,144,"SECUNDARIA COMPLETA",0,0,0,0,0,1183.24,0,0,0,0,573.37,0,5,1,"MAS DE 50","Soltero(a)","Mujer","sin hijos",4663,52,0,41.25,1,5,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,6.05239151999867,651.2,1224.57,532.04,41.33,1,"Ica",5,39,0,NA,1
347,225.89479522314,19,40322.2209473304,178.5,"SECUNDARIA COMPLETA",0,0,0,0,44.16,2342.77,0,0,0,0,1114.01,57.6,6,2,"MAS DE 50","Soltero(a)","Mujer","sin hijos",4663,51,0,41.25,2,5,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,6.05239151999867,1215.32,2386.93,1114.01,0,1,"Ica",7,31,0,NA,1
383,55.9267015706806,20,10682,191,"SECUNDARIA COMPLETA",0,0,0,0,0,1605.58,0,0,0,0,732.52,119.38,5,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4539,44,0,45.9,1,4,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,4.79582369048168,578.97,1629.73,907.23,24.15,0,"Ica",11,39,0,NA,1
383,137.07073286648,19,11651.0122936508,85,"SECUNDARIA COMPLETA",0,0,0,0,92.64,623.46,0,0,0,0,140,0,6,2,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",4539,43,0,45.9,2,4,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,4.79582369048168,576.1,716.1,140,0,0,"Ica",4,40.5,1,NA,1
394,9.69380208333334,19,77.5504166666667,8,"SUPERIOR - TECNICO",0,34.73,0,0,0,0,0,0,0,0,15.97,0,1,1,"DE 31 A 50","Soltero(a)","Hombre","con hijos",4413,47,1,41.25,1,3,3989.81,"0.NORMAL","0.NORMAL",1.17,"CONSUMO NO REVOLVENTE",0,1,2.69268693119756,34.73,50.7,0,15.97,0,"Ica",1,40,1,3655,1
